observation_id,common_name,scientific_name,family,genus,observed_length_(m),observed_weight_(kg),age_class,sex,date_of_observation,country/region,habitat_type,conservation_status,observer_name,notes
1,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,1.9,62.0,adult,male,31-03-2018,belize,swamps,least concern,allison hill,cause bill scientist nation opportunity.
2,american crocodile,crocodylus acutus,crocodylidae,crocodylus,4.09,334.5,adult,male,28-01-2015,venezuela,mangroves,vulnerable,brandon hall,ago current practice nation determine operation speak according.
3,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,1.08,118.2,juvenile,unknown,07-12-2010,venezuela,flooded savannas,critically endangered,melissa peterson,democratic shake bill here grow gas enough analysis least by two.
4,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.42,90.4,adult,male,01-11-2019,mexico,rivers,least concern,edward fuller,officer relate animal direction eye bag do.
5,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.75,269.4,adult,unknown,15-07-2019,india,rivers,vulnerable,donald reid,class great prove reduce raise author play move each left establish understand read detail.
6,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,2.64,137.4,adult,male,08-06-2023,india,reservoirs,vulnerable,randy brown,source husband at tree note responsibility defense.
7,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.85,157.7,subadult,male,10-12-2010,thailand,slow rivers,critically endangered,dr. marvin thomas jr.,much section investment on gun young catch management sense technology check civil quite others his other life edge.
8,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,0.35,4.7,juvenile,unknown,03-08-2008,central african republic,forest swamps,data deficient,terri frazier,race mr environment political born itself law west.
9,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,3.05,201.2,adult,male,16-04-2020,sudan,lakes,least concern,deborah mason,medical blood personal success medical current hear claim well.
10,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,3.39,197.2,adult,male,21-05-2016,mexico,lagoons,least concern,tamara george,affect upon these story film around there water beat magazine attorney set.
11,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.22,15.8,adult,male,08-06-2018,liberia,small streams,vulnerable,betty alvarez,close month parent who up sense ready.
12,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,1.84,60.7,adult,male,19-10-2019,belize,lagoons,least concern,jennifer powers,just military building different full open discover detail.
13,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.63,121.3,subadult,unknown,16-02-2015,cambodia,slow rivers,critically endangered,mark perez,teacher audience draw protect democrat.
14,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.65,217.7,adult,male,07-07-2006,mexico,mangroves,vulnerable,timothy duncan,drug list imagine behind probably great in tell.
15,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.32,19.2,adult,female,14-06-2010,côte d'ivoire,small streams,vulnerable,matthew lucas,i fund technology eat couple large.
16,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.0,67.9,adult,unknown,18-03-2007,mexico,rivers,least concern,donald wright,kitchen technology nearly anything yourself structure why.
17,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,1.98,61.5,juvenile,unknown,14-03-2007,mexico,lagoons,least concern,sarah martin,loss ten total clearly able hospital unit size expect recent room situation product main couple design around.
18,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.37,565.0,adult,female,13-10-2025,sudan,reservoirs,least concern,amy edwards,once me system church whether bag.
19,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,1.07,31.1,juvenile,unknown,28-02-2017,indonesia (borneo),estuarine systems,data deficient,kurt leonard,identify walk now often always.
20,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,1.55,350.9,juvenile,male,26-12-2017,philippines,estuaries,least concern,matthew cunningham,various daughter respond draw how public feel.
21,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.52,89.6,subadult,unknown,24-09-2011,malaysia (borneo),estuarine systems,data deficient,paul jones,perform none beyond mrs media car give attention.
22,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.65,759.8,adult,male,16-04-2013,tanzania,lakes,least concern,dustin kim,region particularly would pressure account stage federal professional voice care break blood network evening painting response.
23,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.77,36.0,adult,male,07-12-2010,congo (drc),forest swamps,data deficient,mark baker,economy traditional anything plant stop analysis four capital woman claim kind relationship night born war real chance.
24,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.44,107.9,subadult,male,27-01-2007,cuba,swamps,critically endangered,jacob tran,camera final together someone team together.
